"mid","aid"
"4","79"
"6","143"
"9","1"
"10","182"
"11","182"
"12","226"
"13","64"
"17","113"
"18","113"
"20","248"
"21","274"
"22","49"
"27","1"
"28","177"
"32","268"
"35","256"
"37","83"
"37","72"
"40","231"
"40","83"
"42","152"
"45","273"
"46","152"
"47","307"
"48","126"
"49","126"
"50","234"
"51","126"
"52","126"
"55","13"
"56","138"
"57","68"
"58","259"
"64","80"
"65","41"
"66","22"
"67","195"
"67","133"
"67","170"
"68","170"
"69","24"
"70","170"
"71","241"
"72","170"
"73","209"
"74","52"
"76","65"
"79","65"
"82","47"
"88","161"
"90","267"
"91","111"
"93","148"
"94","73"
"96","92"
"97","17"
"99","73"
"100","221"
"101","244"
"104","81"
"105","94"
"107","120"
"108","120"
"109","261"
"110","302"
"111","12"
"112","230"
"113","132"
"115","314"
"116","71"
"117","166"
"118","166"
"119","242"
"119","158"
"120","205"
"121","166"
"122","244"
"123","205"
"124","1"
"125","155"
"127","1"
"128","1"
"133","179"
"134","311"
"135","205"
"136","202"
"138","1"
"139","286"
"140","260"
"141","216"
"142","116"
"145","291"
"146","197"
"148","181"
"151","197"
"153","189"
"154","272"
"155","233"
"156","156"
"157","55"
"157","208"
"158","292"
"159","189"
"160","31"
"162","169"
"163","215"
"164","144"
"166","2"
"168","179"
"171","36"
"172","112"
"173","186"
"173","187"
"174","32"
"175","105"
"178","184"
"180","232"
"181","251"
"182","142"
"182","253"
"183","139"
"184","78"
"185","214"
"186","62"
"187","5"
"189","6"
"190","87"
"191","298"
"193","69"
"194","16"
"196","136"
"196","159"
"196","229"
"197","312"
"199","264"
"200","76"
"201","147"
"201","67"
"201","299"
"202","275"
"203","140"
"204","9"
"205","28"
"207","192"
"207","178"
"208","1"
"209","25"
"210","1"
"211","99"
"212","46"
"213","4"
"213","145"
"214","131"
"215","9"
"216","19"
"220","237"
"220","303"
"222","34"
"223","18"
"224","279"
"225","23"
"226","93"
"227","266"
"227","117"
"227","95"
"228","35"
"229","101"
"230","11"
"231","53"
"232","224"
"233","21"
"234","286"
"237","45"
"237","224"
"238","85"
"239","59"
"239","163"
"240","53"
"240","250"
"241","77"
"245","6"
"246","219"
"248","210"
"249","163"
"249","134"
"250","100"
"251","279"
"251","284"
"252","200"
"253","210"
"254","252"
"255","249"
"255","255"
"256","277"
"257","14"
"259","26"
"259","59"
"263","204"
"264","276"
"265","150"
"265","42"
"266","284"
"266","279"
"267","160"
"269","97"
"270","265"
"272","97"
"273","246"
"273","48"
"274","75"
"276","277"
"1","1"
"85","1"
"38","175"
"114","29"
"167","105"
"147","105"
"161","1"
"75","170"
"143","185"
"3","1"
"87","146"
"80","238"
"29","256"
"33","124"
"33","228"
"34","258"
"36","102"
"39","162"
"43","308"
"54","176"
"59","313"
"77","50"
"81","58"
"86","262"
"16","293"
"25","39"
"26","102"
"23","203"
"24","227"
"61","254"
"83","240"
"41","234"
"95","81"
"2","8"
"31","217"
"98","118"
"132","156"
"5","1"
"19","113"
"15","125"
"53","126"
"7","188"
"188","40"
"152","38"
"137","213"
"149","105"
"206","294"
"217","236"
"62","3"
"106","141"
"242","134"
"258","154"
"177","193"
"102","120"
"30","102"
"192","110"
"103","20"
"103","120"
"60","30"
"60","90"
"221","86"
"243","286"
"243","224"
"247","26"
"247","51"
"14","70"
"129","222"
"169","189"
"281","318"
"282","319"
"283","1"
"284","321"
"285","322"
"286","323"
"286","324"
"287","105"
"288","327"
"289","329"
"290","120"
"291","330"
"292","338"
"165","223"
"144","297"
"44","119"
"176","55"
"176","89"
"176","32"
"179","1"
"293","339"
"260","14"
"260","42"
"260","150"
"260","200"
"275","304"
"195","309"
"268","301"
"84","270"
"84","300"
"219","279"
"236","88"
"236","96"
"236","279"
"8","243"
"63","37"
"63","195"
"131","194"
"279","317"
"130","105"
"92","148"
"218","165"
"262","63"
"262","137"
"262","210"
"262","289"
"262","305"
"261","289"
"261","305"
"271","42"
"271","61"
"271","271"
"271","310"
"235","295"
"244","247"
"244","295"
"89","238"
"170","55"
"78","91"
"126","269"
"294","205"
"295","340"
"296","341"
"198","218"
"150","197"
"298","342"
"299","343"
"303","353"
"301","352"
