"mid","kid"
"4","74"
"6","245"
"9","64"
"12","40"
"12","60"
"12","227"
"13","24"
"13","196"
"17","144"
"18","284"
"20","273"
"21","79"
"22","214"
"27","265"
"28","98"
"28","127"
"28","144"
"32","284"
"32","95"
"32","94"
"32","224"
"35","255"
"35","239"
"37","6"
"40","216"
"45","26"
"46","67"
"46","137"
"46","170"
"46","266"
"47","8"
"48","17"
"49","162"
"51","173"
"51","268"
"55","238"
"56","138"
"57","138"
"58","198"
"64","1"
"65","38"
"66","279"
"67","62"
"67","1"
"68","125"
"68","53"
"69","13"
"70","168"
"70","80"
"71","279"
"72","138"
"73","99"
"74","97"
"74","154"
"76","277"
"76","75"
"82","106"
"82","39"
"82","41"
"88","278"
"90","97"
"90","154"
"91","133"
"93","129"
"93","131"
"93","144"
"94","33"
"94","149"
"94","150"
"96","90"
"96","188"
"96","92"
"97","267"
"97","35"
"99","33"
"99","149"
"99","150"
"100","197"
"105","70"
"105","153"
"107","254"
"107","140"
"107","51"
"107","119"
"107","247"
"107","51"
"107","150"
"109","205"
"109","152"
"110","253"
"110","200"
"112","278"
"113","86"
"115","55"
"115","116"
"117","38"
"117","264"
"117","151"
"118","203"
"118","43"
"118","292"
"120","176"
"121","142"
"121","184"
"121","110"
"122","186"
"125","223"
"125","126"
"127","126"
"128","23"
"128","81"
"134","252"
"134","65"
"134","220"
"135","86"
"136","270"
"139","26"
"139","23"
"141","177"
"142","286"
"142","45"
"145","38"
"145","205"
"146","159"
"148","134"
"151","204"
"151","246"
"154","105"
"154","166"
"154","61"
"155","206"
"155","252"
"156","106"
"157","138"
"157","11"
"157","86"
"157","176"
"157","103"
"162","185"
"162","1"
"163","201"
"164","26"
"171","287"
"171","208"
"171","164"
"171","260"
"172","240"
"172","258"
"172","81"
"174","205"
"175","109"
"175","186"
"178","52"
"178","123"
"178","145"
"181","72"
"181","171"
"181","283"
"181","120"
"182","118"
"182","142"
"183","215"
"183","109"
"183","186"
"185","10"
"187","243"
"190","229"
"190","5"
"194","32"
"194","235"
"197","276"
"200","11"
"200","202"
"200","114"
"201","114"
"202","222"
"202","169"
"203","184"
"203","184"
"204","102"
"205","77"
"205","78"
"205","237"
"207","107"
"207","186"
"208","130"
"209","161"
"209","160"
"213","165"
"214","83"
"215","179"
"215","101"
"215","102"
"216","87"
"220","100"
"223","115"
"224","82"
"224","251"
"224","18"
"224","117"
"226","124"
"227","246"
"227","179"
"227","182"
"227","102"
"228","240"
"229","15"
"229","15"
"230","89"
"230","179"
"231","179"
"231","180"
"232","32"
"232","240"
"233","26"
"234","26"
"237","32"
"238","88"
"239","231"
"239","172"
"240","114"
"240","180"
"241","274"
"241","113"
"246","19"
"246","124"
"248","48"
"248","63"
"249","263"
"249","176"
"249","36"
"250","85"
"251","71"
"251","232"
"251","46"
"251","283"
"252","19"
"254","288"
"254","291"
"254","162"
"254","183"
"255","236"
"255","263"
"256","57"
"256","136"
"257","104"
"257","181"
"259","19"
"259","139"
"265","104"
"265","181"
"267","135"
"269","25"
"269","176"
"270","282"
"272","25"
"273","262"
"273","124"
"273","262"
"274","242"
"276","241"
"1","147"
"85","211"
"85","141"
"38","144"
"114","9"
"167","225"
"167","49"
"147","231"
"147","48"
"161","108"
"75","195"
"75","235"
"143","272"
"143","230"
"3","271"
"3","156"
"87","39"
"80","138"
"80","11"
"29","189"
"34","2"
"34","21"
"39","219"
"39","146"
"43","290"
"43","43"
"43","112"
"54","213"
"59","187"
"59","14"
"59","27"
"59","69"
"59","68"
"77","281"
"77","158"
"81","84"
"81","193"
"86","66"
"16","44"
"26","194"
"23","56"
"23","228"
"23","221"
"24","9"
"61","207"
"61","59"
"83","184"
"83","37"
"83","269"
"41","259"
"2","163"
"31","143"
"98","248"
"98","132"
"98","54"
"98","217"
"132","110"
"5","192"
"19","22"
"15","212"
"15","167"
"15","209"
"53","128"
"53","38"
"7","190"
"188","201"
"188","12"
"152","47"
"152","225"
"152","28"
"152","31"
"152","226"
"149","47"
"206","280"
"217","231"
"62","249"
"106","231"
"106","106"
"106","53"
"242","232"
"258","191"
"258","42"
"177","20"
"177","256"
"177","234"
"102","30"
"102","50"
"30","345"
"30","346"
"192","29"
"192","93"
"60","43"
"221","96"
"221","261"
"221","155"
"221","150"
"243","32"
"243","250"
"129","50"
"129","43"
"129","30"
"169","233"
"281","315"
"281","316"
"281","317"
"281","318"
"282","138"
"283","319"
"283","339"
"284","323"
"284","324"
"285","325"
"286","326"
"287","329"
"287","340"
"288","331"
"288","336"
"288","341"
"288","338"
"289","342"
"290","343"
"291","353"
"291","354"
"291","355"
"291","356"
"292","233"
"165","4"
"165","191"
"165","42"
"144","91"
"144","175"
"144","9"
"144","3"
"144","121"
"144","26"
"144","206"
"144","174"
"44","58"
"44","289"
"44","137"
"44","266"
"176","244"
"176","111"
"293","358"
"268","191"
"268","42"
"84","16"
"219","119"
"219","117"
"219","76"
"236","124"
"236","210"
"8","131"
"8","144"
"8","218"
"8","157"
"63","133"
"131","285"
"131","199"
"130","291"
"130","100"
"92","12"
"218","178"
"218","73"
"261","278"
"271","124"
"235","119"
"235","117"
"235","114"
"235","122"
"89","202"
"89","34"
"170","7"
"170","148"
"78","257"
"126","70"
"126","66"
"126","153"
"126","171"
"294","359"
"295","360"
"296","361"
"198","130"
"198","240"
"150","176"
"298","291"
"303","368"
"303","369"
"303","370"
"301","363"
"301","364"
"301","365"
"301","366"
