"mid","rid","extra"
"9","408",
"10","261",
"12","262",
"12","426",
"17","264",
"18","265",
"21","267",
"22","281",
"22","484",
"28","538",
"28","539",
"32","272",
"35","274",
"37","276",
"40","373",
"42","279",
"42","373",
"45","387","p. 179"
"45","514","p. xix"
"46","411",
"47","283",
"48","285",
"49","284",
"50","287",
"50","286",
"51","289",
"52","289",
"52","490","Fig. 9.3.3"
"55","542",
"55","483",
"56","291",
"57","292",
"64","545",
"65","546",
"66","497",
"66","517",
"67","305",
"67","299",
"67","304",
"68","300",
"69","301",
"70","302","Vol. 1"
"71","303",
"73","412",
"73","548",
"74","306",
"76","308",
"79","309",
"79","551",
"88","313",
"90","318",
"90","503",
"91","316",
"93","319",
"94","554",
"96","321",
"99","554",
"101","324",
"105","325",
"107","327",
"108","327",
"109","329",
"111","561",
"111","562",
"112","330",
"113","332",
"113","413",
"115","333",
"116","563","p. 54"
"117","564",
"118","564",
"119","335",
"119","334",
"120","336",
"120","562",
"120","424",
"121","567",
"121","568",
"121","569",
"122","337",
"123","342",
"125","356",
"127","340",
"128","340",
"133","344",
"134","345",
"135","570",
"139","347",
"140","348",
"140","571",
"142","417",
"142","349",
"142","350",
"145","572",
"146","353","Fig. XIX"
"148","355",
"151","357","S. 78"
"151","520",
"153","358",NULL
"154","359",
"155","361",
"156","535",
"157","360",
"157","513",
"158","362",
"158","363",
"159","352",
"162","576",
"163","366",NULL
"166","365",
"168","367",
"171","580",
"171","370",
"174","581",
"174","513","Fig. 85"
"175","371",
"178","372",
"180","374",
"181","376",
"181","526",
"182","375",
"182","505",
"183","380",
"184","379",
"185","377",
"186","383",
"187","381",
"190","385",
"190","384",
"190","482",
"191","582",
"194","388",
"194","469",
"196","390",
"196","393",
"196","392",
"199","404",
"200","395",
"201","583",
"201","396",
"201","406",
"201","397",
"201","399",
"202","398",
"202","407",
"203","401",
"204","400",
"204","584",
"207","403",
"208","436",
"211","409",
"215","414",
"220","422",
"222","423",
"222","466",
"223","425",
"224","434",
"225","428",
"226","585",
"227","432",
"228","430",
"229","431",
"230","433",
"231","435",
"232","437",
"234","438",
"238","446",
"238","508",
"239","444",
"240","443",
"241","445",
"241","451",
"246","456",
"248","488",
"249","592",NULL
"249","529",NULL
"250","459",
"251","461",
"252","463",
"253","467",
"255","468",
"256","469",
"256","494",
"256","515",
"257","471",
"259","475",
"263","486",
"263","502",
"264","493",
"265","491",
"266","495",
"267","492",
"269","498",
"269","509",
"270","501",
"270","499",
"272","588",
"272","522",
"273","589",
"274","512",
"276","532",
"124","409",NULL
"135","469",NULL
"85","365",NULL
"38","277",NULL
"114","331",NULL
"167","369",NULL
"147","573",NULL
"161","575",NULL
"75","307",NULL
"75","519",NULL
"143","423",NULL
"143","351",NULL
"249","460",NULL
"3","537",NULL
"87","312",NULL
"80","552",NULL
"33","540",NULL
"33","273",NULL
"36","275",NULL
"36","490",NULL
"39","278",NULL
"43","462",NULL
"43","297",NULL
"59","293",NULL
"59","294",NULL
"59","543",NULL
"77","549",NULL
"81","310",NULL
"86","477",NULL
"16","263",NULL
"23","268",NULL
"24","269",NULL
"61","476",NULL
"61","544",NULL
"83","553",NULL
"41","282",NULL
"41","288",NULL
"2","464",NULL
"31","600",NULL
"98","322",NULL
"132","535",NULL
"132","599",NULL
"19","266",NULL
"53","290",NULL
"53","365",NULL
"188","379",NULL
"152","574",NULL
"152","402",NULL
"152","402",NULL
"137","536",NULL
"149","382",NULL
"149","382",NULL
"217","416",NULL
"62","295",NULL
"62","311",NULL
"62","402",NULL
"106","328",NULL
"106","559",NULL
"106","560",NULL
"242","447",NULL
"258","485",NULL
"258","587",NULL
"258","610",NULL
"258","615",NULL
"102","556",NULL
"30","270",NULL
"192","389",NULL
"103","557",NULL
"103","558",NULL
"60","394",NULL
"221","480",NULL
"221","365",NULL
"243","449",NULL
"247","586",NULL
"247","470",NULL
"247","506",NULL
"129","339",NULL
"129","609",NULL
"169","368",NULL
"169","469",NULL
"281","598",NULL
"282","601",NULL
"283","603",NULL
"284","604",NULL
"284","605",NULL
"284","607",NULL
"285","608",NULL
"286","612",NULL
"286","614",NULL
"287","616",NULL
"289","617",NULL
"291","543",NULL
"292","619",NULL
"165","577",NULL
"165","578",NULL
"165","519",NULL
"144","354",NULL
"44","280",NULL
"44","420",NULL
"44","282",NULL
"44","541",NULL
"176","409",NULL
"176","405",NULL
"179","455",NULL
"293","620",NULL
"293","621",NULL
"260","479",NULL
"275","521",NULL
"275","593",NULL
"195","391",NULL
"268","496",NULL
"219","421",NULL
"236","439",NULL
"236","440",NULL
"63","518",NULL
"63","298",NULL
"63","296",NULL
"279","594",NULL
"279","513",NULL
"130","341",NULL
"92","317",NULL
"262","489",NULL
"262","487",NULL
"261","481",NULL
"271","504",NULL
"271","511",NULL
"271","516",NULL
"271","510",NULL
"235","442",NULL
"244","450",NULL
"89","314",NULL
"89","315",NULL
"89","531",NULL
"170","513",NULL
"78","550",NULL
"78","513",NULL
"126","338",NULL
"126","415",NULL
"294","469",NULL
"296","622",NULL
"198","436",NULL
"198","500",NULL
"150","357",NULL
"298","623",NULL
"299","625",NULL
"301","626",NULL
