"mid","sid"
"4","2"
"6","1"
"9","1"
"10","4"
"11","3"
"12","2"
"13","1"
"17","2"
"18","1"
"20","2"
"21","1"
"27","2"
"28","1"
"32","1"
"35","1"
"37","2"
"40","2"
"42","2"
"22","2"
"45","1"
"46","2"
"47","1"
"49","1"
"48","2"
"50","1"
"52","2"
"51","1"
"55","1"
"56","1"
"57","1"
"58","3"
"65","1"
"64","1"
"66","4"
"67","1"
"68","2"
"69","2"
"70","2"
"71","4"
"72","2"
"73","2"
"74","1"
"76","1"
"79","1"
"82","3"
"88","1"
"90","1"
"91","1"
"93","1"
"94","4"
"96","4"
"97","2"
"99","4"
"100","3"
"101","4"
"104","1"
"105","4"
"108","4"
"107","4"
"109","4"
"110","3"
"111","4"
"112","4"
"113","1"
"116","3"
"115","2"
"118","1"
"117","1"
"119","4"
"120","1"
"121","2"
"122","2"
"123","1"
"124","4"
"125","3"
"128","2"
"127","3"
"133","2"
"136","1"
"135","4"
"134","4"
"141","3"
"140","2"
"139","4"
"138","3"
"142","1"
"146","1"
"145","4"
"148","4"
"151","2"
"153","2"
"154","1"
"157","1"
"156","3"
"155","4"
"158","2"
"160","4"
"159","1"
"166","4"
"164","4"
"163","4"
"162","1"
"168","4"
"171","4"
"172","4"
"173","3"
"174","4"
"175","2"
"178","1"
"180","2"
"182","1"
"181","2"
"184","4"
"186","2"
"183","3"
"185","2"
"187","2"
"189","2"
"190","2"
"191","2"
"193","2"
"194","2"
"196","2"
"197","3"
"199","1"
"200","2"
"201","2"
"202","2"
"204","1"
"203","4"
"205","4"
"207","3"
"209","4"
"208","2"
"210","4"
"211","2"
"212","2"
"213","2"
"214","2"
"215","2"
"216","2"
"220","2"
"222","2"
"223","2"
"225","2"
"226","2"
"224","2"
"228","4"
"229","2"
"227","2"
"230","2"
"233","2"
"231","2"
"232","2"
"234","2"
"237","2"
"240","2"
"239","2"
"241","2"
"238","2"
"245","2"
"246","2"
"248","2"
"250","3"
"249","2"
"251","2"
"252","2"
"253","2"
"254","4"
"255","2"
"256","2"
"257","2"
"259","2"
"263","2"
"265","2"
"267","2"
"264","2"
"266","2"
"269","2"
"270","2"
"272","2"
"273","2"
"274","2"
"276","2"
"1","1"
"85","3"
"38","2"
"114","1"
"167","2"
"147","4"
"161","3"
"75","1"
"143","1"
"3","1"
"87","1"
"80","4"
"29","3"
"33","2"
"34","2"
"36","1"
"39","1"
"43","1"
"54","3"
"59","2"
"77","1"
"81","3"
"86","4"
"16","2"
"25","1"
"26","2"
"23","3"
"24","1"
"61","4"
"83","2"
"41","1"
"95","1"
"2","1"
"31","2"
"98","4"
"132","1"
"5","3"
"19","1"
"15","3"
"53","1"
"7","3"
"188","2"
"152","4"
"137","4"
"149","1"
"206","4"
"217","4"
"62","2"
"106","2"
"242","2"
"258","2"
"177","1"
"102","1"
"30","3"
"192","4"
"103","4"
"60","2"
"221","1"
"243","4"
"247","2"
"14","2"
"129","4"
"169","1"
"281","3"
"282","2"
"283","1"
"284","1"
"285","2"
"286","2"
"287","2"
"288","3"
"289","4"
"290","2"
"291","2"
"292","1"
"165","2"
"144","4"
"44","1"
"176","2"
"179","2"
"293","2"
"260","2"
"275","2"
"195","2"
"268","2"
"84","1"
"219","2"
"236","2"
"8","1"
"63","2"
"131","3"
"279","4"
"130","1"
"92","1"
"218","2"
"262","2"
"261","2"
"271","2"
"235","2"
"244","2"
"89","4"
"170","1"
"78","4"
"126","4"
"294","1"
"295","3"
"296","4"
"198","4"
"150","2"
"297","0"
"298","1"
"299","2"
"303","4"
"301","4"
